"","V1","V2","V3","V4","V5","V6"
"HRB",0.0745830572275378,29.9163326465763,-29.9999194149973,-0.0341695477496454,0.0979136878050569,4.99999999999648
"HRL",0.0745825703055958,29.9161881142436,-29.9997725350318,-0.0341673320460179,0.0979143325530684,4.99999999997412
"HRS",0.0746386910441043,24.8978391596219,-25.1213241831697,-0.0347233695410479,0.0329728838555148,4.99999999997775
"HSIC",0.0746378424398145,29.4028330931665,-29.5378792792085,-0.0347206628806885,0.0545543653060369,4.99999905288531
"HST",0.0745828627987616,29.9162675037121,-29.9998528735008,-0.0341687081619459,0.0979134372881425,4.9999999999834
"HSY",0.0746389050980076,29.5975962700992,-29.7833509942357,-0.0347244382429968,0.0396697842044849,4.9999999999356
"HUM",0.0745824624231195,29.916388506426,-29.9999747533907,-0.0341666454202404,0.0979174322889536,4.99999999999904
"IBM",0.0746389817993503,21.3830042678415,-21.749494073757,-0.034724872616865,0.0201061711350526,4.99999999997794
"ICE",0.0746387426011114,29.6648230171885,-29.8683356932092,-0.0347235907715914,0.0362088908574981,4.99999999996228
"IDXX",0.07458224649016,29.9162343699554,-29.9998232303115,-0.0341653187157206,0.0979226799516639,4.99999999998795
"IFF",0.0746388461726681,29.5851426299449,-29.7788635798336,-0.0347241110081904,0.0380387342678606,4.99999999994266
"ILMN",0.074639854615808,29.6784049909652,-29.8334103812282,-0.0347286973879016,0.047542754919824,4.99999994983628
"INCY",0.0745835377330099,29.9163352209112,-29.9999322092816,-0.0341710444256564,0.097922938514278,4.99999999999569
"INFO",0.0746386335239625,21.8164857749906,-22.0725085640606,-0.0347230543857341,0.0287826046068828,4.99999999999896
"INTC",0.0745824472270856,29.9163511375103,-29.9999356763187,-0.0341667095808458,0.0979154961899784,4.99999999999197
"INTU",0.0746383899578578,28.6205405928411,-28.764522878439,-0.0347222907419731,0.0511746133189982,4.99999957756131
"IP",0.0746389749917277,13.3770328520406,-13.6022309085287,-0.034724707817186,0.032722130319606,4.99999999999949
"IPG",0.0745826806579629,29.916322894063,-29.9999068004518,-0.0341679225952827,0.0979129805006122,4.99999999998969
"IR",0.0746387478973378,26.5652404119634,-26.7833658974412,-0.0347236072066065,0.0337831890195249,4.99999999999927
"IRM",0.0746388477854701,20.2535471086084,-20.4943206324516,-0.0347240764911076,0.0306054691663862,4.99999999999825
"ISRG",0.0746385402333661,29.5326036036631,-29.7191409312404,-0.034722592357742,0.0395042588208649,4.99999999982031
"IT",0.0746387925700164,28.5854881715813,-28.801759195029,-0.0347238618869115,0.0340726624122235,4.99999999995899
"ITW",0.0746385809864997,7.974412261098,-8.2434508305905,-0.0347228366109613,0.027389848808149,4.99999999999905
"IVZ",0.0746392697179481,29.3889911831984,-29.5714503113755,-0.0347261051340774,0.0403870470146899,4.99999999984584
"JBHT",0.0746388550978152,20.3336025440637,-20.663437656554,-0.0347242073690796,0.0223410194158628,4.99999999998242
"JCI",0.0746390124384145,28.8187279835152,-28.9920190529394,-0.0347249643296921,0.0425227095475499,4.99999999954693
"JEC",0.0745828073949202,29.9163323087073,-29.9999180181379,-0.0341683954032187,0.0979142593146193,4.99999999998479
"JNJ",0.0745937905525582,18.0968644397189,-18.1763850464857,-0.0342057706420673,0.102984463628492,4.99981546654927
"JNPR",0.0746391732182349,29.7816136003408,-29.9724468407356,-0.0347256071684908,0.0386150888174469,4.99999999992328
"JPM",0.0746387880755541,19.5895797326157,-20.1163418177593,-0.0347237917272177,0.0139892637793352,4.99999999996239
"JWN",0.074583532820683,29.9163329267074,-29.9999203201046,-0.0341718706674589,0.0979107675960394,4.99999999999874
"K",0.0745825477714633,29.9163178673941,-29.9999003404245,-0.0341673853825244,0.0979123098458753,4.99999999997584
"KEY",0.0746390389525582,29.637698057864,-29.8047449792715,-0.034725011765865,0.0441135299075302,4.99999999192649
"KHC",0.0745825519091109,29.9161462336339,-29.9997302591359,-0.0341672508050608,0.0979143495256365,4.99999999995799
"KIM",0.0745828533664415,29.9162849961357,-29.9998679566538,-0.0341688678680579,0.0979103882485593,4.99999999999603
"KLAC",0.0746387429707649,25.1992181974096,-25.4779216660331,-0.0347234926202511,0.0264409421753239,4.99999999998799
"KMB",0.074638829502878,17.492877046891,-17.7295890904127,-0.0347241558275362,0.0311294011471652,4.99999999997693
"KMI",0.0746400326689775,22.0619608924157,-22.3034394118044,-0.034729585443099,0.0305172432486616,4.99999999999905
"KMX",0.0746392326069938,18.0103467327948,-18.2838516692479,-0.0347258468737894,0.0269433078354325,4.9999999999823
"KO",0.0746387467279758,14.4408535250973,-14.7110726729042,-0.0347237675607188,0.0272693056116162,4.9999999999943
